Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Produtos complementares (product.metafields.shopify--discovery--product_recommendation.complementary_products),Produtos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products),Configurações de produtos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products_display),Impulsionamentos de produtos na pesquisa (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
jig-head-de-olho,Jig Head de Olho 90°,"<p>🎯 JIG DE OLHO – MAIS ATAQUES, MAIS RESULTADOS!</p>
<p>O Jig de Olho da Chumbada Oficial é um jig head que leva um grande diferencial: um olho estrategicamente posicionado para aumentar o apelo visual da montagem, chamando mais a atenção dos peixes e estimulando ainda mais os ataques.</p>
<p>Mas não é apenas a presença do olho que faz a diferença. Enquanto muitos modelos possuem o olho centralizado, no Jig de Olho da Chumbada Oficial ele foi deslocado do centro de forma inteligente. Isso permite deixar o gap do anzol mais livre, melhorando a exposição da ponta e favorecendo fisgadas mais eficientes.</p>
<p>✅ Mais atratividade visual<br>✅ Mais ataques<br>✅ Gap do anzol mais livre<br>✅ Melhor eficiência na fisgada<br>✅ Ideal para diversas modalidades com iscas soft</p>
<p>Pequenos detalhes fazem grandes diferenças na pescaria. Experimente o Jig de Olho da Chumbada Oficial e aumente suas chances de sucesso a cada arremesso!<br></p>",Chumbada Oficial,Sem categoria,"","90 Graus, Isca, isca artificial, Jig Head, olho",true,Peso,10g,,Anzol,1/0,,Cor,Natural,,JH01011510101,11.0,,0,deny,manual,4.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0454/5845/6736/files/jigdeolho.png?v=1780951080,1,"",false,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0454/5845/6736/files/jig_head_de_olho_natural.jpg?v=1781701879,kg,,,active
jig-head-de-olho,,,,,,,,,10g,,,1/0,,,Amarelo,,JH01010810101,11.0,,0,deny,manual,6.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0454/5845/6736/files/jig_head_de_olho_natural.jpg?v=1781701879,2,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0454/5845/6736/files/jigdeolho.png?v=1780951080,kg,,,
jig-head-de-olho,,,,,,,,,10g,,,1/0,,,Laranja,,JH01011610101,11.0,,0,deny,manual,6.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0454/5845/6736/files/jig_head_de_olho_90_preto.jpg?v=1781701878,3,"",,,,,,,,,,,,,,,,,,,,,kg,,,
jig-head-de-olho,,,,,,,,,10g,,,1/0,,,Preto,,JH01011910101,11.0,,0,deny,manual,6.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0454/5845/6736/files/jig_head_de_olho_natural_90_vermelho.jpg?v=1781701879,4,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0454/5845/6736/files/jig_head_de_olho_90_preto.jpg?v=1781701878,kg,,,
jig-head-de-olho,,,,,,,,,10g,,,1/0,,,Vermelho,,JH01011810101,11.0,,0,deny,manual,6.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0454/5845/6736/files/jig_head_de_olho_natural_90_vermelho.jpg?v=1781701879,kg,,,
jig-head-de-olho,,,,,,,,,10g,,,2/0,,,Natural,,JH01011510202,11.0,,-2,deny,manual,4.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0454/5845/6736/files/jig_head_de_olho_natural.jpg?v=1781701879,kg,,,
jig-head-de-olho,,,,,,,,,10g,,,2/0,,,Amarelo,,JH01010810202,11.0,,0,deny,manual,6.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0454/5845/6736/files/jigdeolho.png?v=1780951080,kg,,,
jig-head-de-olho,,,,,,,,,10g,,,2/0,,,Laranja,,JH01011610202,11.0,,0,deny,manual,6.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
jig-head-de-olho,,,,,,,,,10g,,,2/0,,,Preto,,JH01011910202,11.0,,0,deny,manual,6.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0454/5845/6736/files/jig_head_de_olho_90_preto.jpg?v=1781701878,kg,,,
jig-head-de-olho,,,,,,,,,10g,,,2/0,,,Vermelho,,JH01011810202,11.0,,0,deny,manual,6.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0454/5845/6736/files/jig_head_de_olho_natural_90_vermelho.jpg?v=1781701879,kg,,,
jig-head-de-olho,,,,,,,,,10g,,,3/0,,,Natural,,JH01011510303,11.0,,-2,deny,manual,4.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0454/5845/6736/files/jig_head_de_olho_natural.jpg?v=1781701879,kg,,,
jig-head-de-olho,,,,,,,,,10g,,,3/0,,,Amarelo,,JH01010810303,11.0,,0,deny,manual,6.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0454/5845/6736/files/jigdeolho.png?v=1780951080,kg,,,
jig-head-de-olho,,,,,,,,,10g,,,3/0,,,Laranja,,JH01011610303,11.0,,0,deny,manual,6.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
jig-head-de-olho,,,,,,,,,10g,,,3/0,,,Preto,,JH01011910303,11.0,,0,deny,manual,6.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0454/5845/6736/files/jig_head_de_olho_90_preto.jpg?v=1781701878,kg,,,
jig-head-de-olho,,,,,,,,,10g,,,3/0,,,Vermelho,,JH01011810303,11.0,,0,deny,manual,6.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0454/5845/6736/files/jig_head_de_olho_natural_90_vermelho.jpg?v=1781701879,kg,,,
jig-head-de-olho,,,,,,,,,10g,,,4/0,,,Natural,,JH01011510404,11.0,,0,deny,manual,4.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0454/5845/6736/files/jig_head_de_olho_natural.jpg?v=1781701879,kg,,,
jig-head-de-olho,,,,,,,,,10g,,,4/0,,,Amarelo,,JH01010810404,11.0,,0,deny,manual,6.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0454/5845/6736/files/jigdeolho.png?v=1780951080,kg,,,
